idna_subject,checker_type,destination,source,tested_at,session_id
00go.com,AVAILABILITY,bad-referrers.list,dev-tools/_input_source/bad-referrers.list,2025-02-22 20:37:56.390381+00:00,561f34f75bd77eb366695e68
03e.info,AVAILABILITY,bad-referrers.list,dev-tools/_input_source/bad-referrers.list,2025-02-22 20:37:56.432202+00:00,561f34f75bd77eb366695e68
00it.com,AVAILABILITY,bad-referrers.list,dev-tools/_input_source/bad-referrers.list,2025-02-22 20:37:56.455952+00:00,561f34f75bd77eb366695e68
00author.com,AVAILABILITY,bad-referrers.list,dev-tools/_input_source/bad-referrers.list,2025-02-22 20:37:56.505825+00:00,561f34f75bd77eb366695e68
00webcams.com,AVAILABILITY,bad-referrers.list,dev-tools/_input_source/bad-referrers.list,2025-02-22 20:37:56.524558+00:00,561f34f75bd77eb366695e68
0912701309f8ce.com,AVAILABILITY,bad-referrers.list,dev-tools/_input_source/bad-referrers.list,2025-02-22 20:37:57.055685+00:00,561f34f75bd77eb366695e68
0daymusic.org,AVAILABILITY,bad-referrers.list,dev-tools/_input_source/bad-referrers.list,2025-02-22 20:37:57.119837+00:00,561f34f75bd77eb366695e68
0c47f8422d3f.com,AVAILABILITY,bad-referrers.list,dev-tools/_input_source/bad-referrers.list,2025-02-22 20:37:57.259309+00:00,561f34f75bd77eb366695e68
03p.info,AVAILABILITY,bad-referrers.list,dev-tools/_input_source/bad-referrers.list,2025-02-22 20:37:57.414487+00:00,561f34f75bd77eb366695e68
0lovespells0.blogspot.com,AVAILABILITY,bad-referrers.list,dev-tools/_input_source/bad-referrers.list,2025-02-22 20:37:57.699681+00:00,561f34f75bd77eb366695e68
007angels.com,AVAILABILITY,bad-referrers.list,dev-tools/_input_source/bad-referrers.list,2025-02-22 20:37:58.006468+00:00,561f34f75bd77eb366695e68
1-free-share-buttons.com,AVAILABILITY,bad-referrers.list,dev-tools/_input_source/bad-referrers.list,2025-02-22 20:37:58.620305+00:00,561f34f75bd77eb366695e68
1-99seo.com,AVAILABILITY,bad-referrers.list,dev-tools/_input_source/bad-referrers.list,2025-02-22 20:37:58.732899+00:00,561f34f75bd77eb366695e68
08800.top,AVAILABILITY,bad-referrers.list,dev-tools/_input_source/bad-referrers.list,2025-02-22 20:37:58.811039+00:00,561f34f75bd77eb366695e68
0n-line.tv,AVAILABILITY,bad-referrers.list,dev-tools/_input_source/bad-referrers.list,2025-02-22 20:37:58.834585+00:00,561f34f75bd77eb366695e68
